SampleID,NbrMethylatedCpG_global_BSBolt,Total_reads,Mapped_read,Total_reads_minusSexAndUnknownChr,Mapped_reads_minusSexAndUnknownChr,Mapped_read_sexchr,Mapped_reads_unknownchr,mappabilityTotal,mappabilityNoSexUn,mappabilitySexChr,mappabilityUnChr,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio,trtG1G2_NUM,PAT,brotherPairID
S56,23373885,10116605,8397879,8840241,7121515,360990,915374,83.0108420759731,80.5579282284273,3.56829193192776,9.04823307819174,74.5%,33%,10.2,73.8520650465054,32,94.1350166384869,18.1818181818182,10116605,Fam17,E_49,S69,V48_298,2,0,411,34,S56,Fam17,O,TC,F,10.1,65.4,E_control,control,39,-2.576,-0.29169,-0.08624,0.3,17.6,4.9,1.8,2197647.1,321,50.11,0.84,2,Exposed father group,BP49
S57,19099426,8770390,7032923,7646062,5908595,223543,900785,80.1893986470385,77.2763155726438,2.54883762295633,10.2707519277934,72.4%,34%,8.8,71.6119817747365,34,92.8697006632544,27.2727272727273,8770390,Fam17,E_49,S69,V48_372,1.2,0,400,34,S57,Fam17,O,TC,M,8.8,63.1,E_control,control,38,-13.576,-0.11443,0.10629,0.4,14.5,0.1,1.7,2091008.9,324,60.11,0.66,2,Exposed father group,BP49
S58,30077022,13554166,11616514,11955331,10017679,380167,1218668,85.7043804834617,83.7925691894269,2.80479817054033,8.99109543147103,75.8%,34%,13.6,75.189868384142,33,93.1378081100674,18.1818181818182,13554166,Fam17,E_49,S69,V48_009,3.7,1,408,32,S58,Fam17,O,TT,F,13.6,66.8,E_exposed,infected,37,87.13,-2.24334,-2.03373,0.4,19.1,1.9,0.5,1599779.7,305,70.11,0.67,3,Exposed father group,BP49
S59,22931841,10316307,8603491,9091032,7378216,279784,945491,83.3970043737551,81.1592787265516,2.71205577732419,9.16501418579342,71.4%,34%,10.6,70.1617711816114,33,92.5275769711002,18.1818181818182,10316307,Fam17,E_49,S69,V48_391,1.1,1,352,32,S59,Fam17,O,TT,M,10.5,65,E_exposed,infected,37,31.13,-1.34094,-1.05356,0.3,11.7,0.1,1.2,1682195.2,257,70.11,0.36,3,Exposed father group,BP49
S60,25041862,10331985,8913681,9083203,7664899,389063,859719,86.2726862263157,84.385419988962,3.76561715875507,8.32094703970244,72.8%,34%,10.6,71.6099634591003,33,93.7141885126624,18.1818181818182,10331985,Fam17,NE_49,S68,V48_017,4.1,0,617,35,S60,Fam17,O,CC,F,10.6,69.8,NE_control,control,41,157.071,-2.61125,-2.6919,0.2,21.6,7.6,1.8,2074142.4,413,55.11,0.94,5,Control father group,BP49
S61,21284003,9251030,8072024,8195246,7016240,332999,722785,87.2554083166956,85.6135374093712,3.59958837015986,7.81302190134504,71.6%,32%,9.3,71.1822589068826,31,95.2094160325931,18.1818181818182,9251030,Fam17,NE_49,S68,V48_018,4,0,491,35,S61,Fam17,O,CC,F,9.3,69.6,NE_control,control,40,31.071,-0.58084,-0.4865,0.1,17,6.2,0.1,1463057.1,275,70.11,1.06,5,Control father group,BP49
S62,28721652,11645225,10212492,10248422,8815689,446127,950676,87.6968199412205,86.0199648297074,3.8309865202261,8.16365506033589,71.4%,33%,11.7,70.8743550997439,32,94.4208234705641,18.1818181818182,11645225,Fam17,NE_49,S68,V48_174,0.8,0,345,32,S62,Fam17,O,CC,F,11.7,71.4,NE_control,control,37,24.13,-1.22814,-0.93103,0.1,8.8,5.9,1.1,717637.4,111,95.11,0.74,5,Control father group,BP49
S63,25853899,10344705,9060420,9131648,7847363,396666,816391,87.5850978834099,85.9358902139022,3.83448343862875,7.89187318536391,75.9%,33%,10.4,75.4877281402672,32,94.9939890987708,18.1818181818182,10344705,Fam17,NE_49,S68,V48_348,1.9,0,466,36,S63,Fam17,O,CC,F,10.4,70.4,NE_control,control,41,-40.282,0.82202,0.95108,0.1,22.2,6.8,2.2,2724099.2,475,70.11,0.8,5,Control father group,BP49
S64,25644980,10694079,9476409,9446046,8228376,416855,831178,88.6136057158358,87.1092095041671,3.89799813522978,7.77231961723866,71.4%,32%,10.8,71.0127203129675,32,95.715975167193,18.1818181818182,10694079,Fam17,NE_49,S68,V48_198,1,2,328,32,S64,Fam17,O,CT,F,10.7,72.2,NE_exposed,infected,37,7.13,-0.95419,-0.63348,0.1,6.8,5.1,0.9,476258.3,56,90.11,0.33,6,Control father group,BP49
S65,22526877,9531051,8200507,8442377,7111833,266945,821729,86.0399026298359,84.2396993169104,2.80079290311215,8.62159902407405,72.9%,33%,9.6,72.5150534352627,32,94.9089392135243,18.1818181818182,9531051,Fam17,NE_49,S68,V48_220,1.5,1,371,33,S65,Fam17,O,CT,M,9.5,68.9,NE_exposed,infected,38,3.777,-0.64711,-0.38612,0.1,7.5,0.3,1.3,1788799.5,270,75.11,0.39,6,Control father group,BP49
S66,26051373,10403425,9098889,9165748,7861212,395795,841882,87.4605142056582,85.767271803676,3.80446824002672,8.09235420065988,75.0%,34%,11.1,73.0414200812806,33,94.3437300696646,18.1818181818182,10403425,Fam17,NE_49,S68,V48_337,1.8,3,476,35,S66,Fam17,O,CT,F,10.8,69.7,NE_exposed,infected,40,16.071,-0.33912,-0.22395,0.3,22.5,7.6,1.4,519244.8,89,85.11,0.36,6,Control father group,BP49
S67,28921294,12337101,10791752,11020088,9474739,354647,962366,87.4739697762059,85.9769813090422,2.87463805313744,7.80058459438729,73.0%,32%,12.4,72.4884349397583,32,95.2919800202657,18.1818181818182,12337101,Fam17,NE_49,S68,V48_347,0.8,2,279,32,S67,Fam17,O,CT,M,12.4,71,NE_exposed,infected,37,-41.87,-0.16459,0.22418,0.1,3.3,NA,0.5,NA,NA,NA,0.71,6,Control father group,BP49
S68,24485387,10803122,9432774,9591519,8221171,310725,900878,87.31525942223,85.7129199243623,2.87625188348331,8.33905235912359,69.7%,33%,10.9,69.0152097655946,32,94.2175248969696,18.1818181818182,10803122,Fam17,NE_49,NA,119,3.5,0,1346,47.5,S68,Fam17,P,C,M,10.9,69.8,Control,control,54,13.236,-1.85864,-0.06932,1.4,45.5,7.1,488,1565368,180.5,102.61,0.9827,1,Control father group,BP49
S69,27398270,12850407,10672108,11300423,9122124,342755,1207229,83.0487937074678,80.7237392794942,2.66726960476816,9.39448065730525,72.4%,32%,13,71.7963826193445,32,94.4564786158135,18.1818181818182,12850407,Fam17,E_49,NA,120,2.9,5,1087,44,S69,Fam17,P,T,M,12.9,65.8,Exposed,infected,49,12.834,-1.18501,-0.45041,0.9,36,8.9,464,2648608,422.5,15.1,1.1251,4,Exposed father group,BP49
S80,25209017,11251408,9101567,9886669,7736828,289308,1075431,80.8926936077689,78.2551534799031,2.57130485357921,9.55819040603629,72.1%,33%,11.4,71.381737611979,32,93.7699713671391,18.1818181818182,11251408,Fam9,E_16,S95,V48_126,2.7,0,699,38,S80,Fam09,O,TC,M,11.3,63.1,E_control,control,43,100.012,-0.93263,-1.12717,0.7,28.9,5.2,5.1,1106633.7,167,70.11,1.66,2,Exposed father group,BP16
S81,27478552,12457559,10295463,10972362,8810266,329505,1155692,82.6443045543674,80.295072291636,2.64502058549351,9.2770341284356,75.2%,33%,12.6,74.6590801791975,32,94.2834134680799,27.2727272727273,12457559,Fam9,E_16,S95,V48_245,2.3,0,562,36,S81,Fam09,O,TC,M,12.5,65.3,E_control,control,41,55.718,-0.72496,-0.72923,0.6,23.3,3.7,3.1,1207597.9,171,75.11,1.59,2,Exposed father group,BP16
S82,21872089,9844150,8442229,8747954,7346033,274148,822048,85.7588415454864,83.9742984473855,2.78488239208058,8.35062448256071,72.8%,32%,9.9,72.3112259982059,32,94.5605310768324,18.1818181818182,9844150,Fam9,E_16,S95,V48_271,3.6,0,796,39,S82,Fam09,O,TC,M,9.9,68.6,E_control,control,44,150.659,-1.49573,-1.82498,1.1,42.4,4.2,4.6,1966033.6,352,25.11,2.48,2,Exposed father group,BP16
S83,24039842,10858377,9065447,9602235,7809305,294072,962070,83.4880479835983,81.327992909984,2.70825004510343,8.86016390847361,73.4%,33%,11,72.6859131427973,33,93.9831322857919,27.2727272727273,10858377,Fam9,E_16,S95,V48_314,4.1,0,879,40,S83,Fam09,O,TC,M,11,66,E_control,control,46,187.306,-1.83322,-2.27774,1.3,36,5.7,10.3,2130139.7,311,55.11,1.13,2,Exposed father group,BP16
S84,27820588,11657957,10188279,10273512,8803834,442875,941570,87.3933485944407,85.694492788834,3.79890747581244,8.07662955010042,72.7%,33%,12,71.6299050042755,32,94.4394583030286,18.1818181818182,11657957,Fam9,E_16,S95,V48_078,4.8,1,1029,43,S84,Fam09,O,TT,F,12,70.5,E_exposed,infected,49,198.247,-1.25038,-1.90323,1.2,59.4,59.6,5.4,6110230.7,1058,20.11,0.84,3,Exposed father group,BP16
S85,24867703,11129266,9754537,9934646,8559917,320823,873797,87.6476220444367,86.1622749315879,2.88269684631493,7.85134437437294,72.6%,32%,11.2,72.0966949887555,31,94.8204638113601,18.1818181818182,11129266,Fam9,E_16,S95,V48_218,3.6,1,817,41,S85,Fam09,O,TT,M,11.2,69.5,E_exposed,infected,47,78.953,0.16587,-0.19255,1.1,29.1,11,5.5,2277723.8,355,75.11,1.29,3,Exposed father group,BP16
S86,22658168,10044262,8554251,8930148,7440137,274097,840017,85.165550241521,83.3148230018136,2.72889138096955,8.36315301213768,74.1%,33%,10.1,73.740872336513,32,94.8062794459165,18.1818181818182,10044262,Fam9,E_16,S95,V48_219,2.2,1,741,38,S86,Fam09,O,TT,M,10.1,68.1,E_exposed,infected,44,142.012,-1.60944,-1.8623,0.9,26.5,7.9,3.6,1867541.3,269,70.11,0.65,3,Exposed father group,BP16
S87,21925315,10146504,8696807,8943142,7493445,377401,825961,85.7123497906274,83.7898470134993,3.71951757965108,8.14035060746046,73.4%,32%,10.2,72.9570743213627,31,94.5472840694687,18.1818181818182,10146504,Fam9,E_16,S95,V48_270,2.8,2,753,39,S87,Fam09,O,TT,F,10.2,68.1,E_exposed,infected,45,107.659,-0.80281,-1.07234,0.8,37.4,9.9,4.1,2176526.5,371,40.11,0.98,3,Exposed father group,BP16
S88,22153925,10009818,8385757,8774968,7150907,361315,873535,83.7753193914215,81.4921148430399,3.60960608874207,8.72678204538784,74.1%,32%,10,73.7423628145397,31,94.6979407617601,18.1818181818182,10009818,Fam9,NE_16,S94,V48_079,3.1,0,831,43,S88,Fam09,O,CC,F,10,68.6,NE_control,control,49,0.247,1.94027,1.56241,1.1,38.5,10.6,3.4,1117417.5,182,65.11,0.43,5,Control father group,BP16
S89,22670998,9970426,8445500,8847865,7322939,273771,848790,84.7055080695649,82.7650399277114,2.74583051917742,8.51307657265597,74.0%,32%,10,73.5327951100605,32,94.7246661276058,18.1818181818182,9970426,Fam9,NE_16,S94,V48_081,3,0,826,42,S89,Fam09,O,CC,M,10,67.4,NE_control,control,49,41.6,1.02084,0.64993,0.9,24.7,3.8,4.7,1053219.9,162,20.11,1.1,5,Control father group,BP16
S90,22788337,10727959,8720615,9359217,7351873,275059,1093683,81.2886682359618,78.5522229049716,2.56394529472009,10.1946977985281,75.5%,34%,11.6,73.4487268283827,33,93.1750665713767,27.2727272727273,10727959,Fam9,NE_16,S94,V48_344,2.3,0,742,41,S90,Fam09,O,CC,M,11.2,62.9,NE_control,control,47,3.953,1.37445,1.12019,1.2,19.7,1.3,2.2,961107.1,155,80.11,0.1,5,Control father group,BP16
S91,28882317,12082475,10180630,10702824,8800979,326968,1052683,84.2594749833954,82.2304374994861,2.70613429781564,8.71247819672708,71.9%,32%,12.2,71.4226119237448,32,94.8951603044906,18.1818181818182,12082475,Fam9,NE_16,S94,V48_370,2.2,0,861,42,S91,Fam09,O,CC,M,12.1,67.1,NE_control,control,48,76.6,0.45684,0.03732,1.5,14.1,8.2,4.5,1272249.2,168,15.1,0.75,5,Control father group,BP16
S92,22991133,9586125,8505545,8508922,7428342,376988,700215,88.7276662885159,87.300623980335,3.93264223030682,7.30446348237687,70.8%,32%,9.7,70.1493476988926,31,95.4816748164665,18.1818181818182,9586125,Fam9,NE_16,S94,V48_232,2.6,1,715,40,S92,Fam09,O,CT,F,9.7,71.5,NE_exposed,infected,46,23.306,0.80954,0.59278,1.4,20.5,9.4,3.1,1610788.9,255,45.11,0.74,6,Control father group,BP16
S93,25020815,10924126,9424331,9718551,8218756,307570,898005,86.2708009775794,84.5677097336835,2.8155112820925,8.22038303110015,71.5%,32%,11,71.1017648771477,31,95.6842773508837,18.1818181818182,10924126,Fam9,NE_16,S94,V48_369,2.9,1,786,42,S93,Fam09,O,CT,M,10.9,69,NE_exposed,infected,48,1.6,1.66542,1.35006,1,10.9,3.3,3.4,1071964.3,151,80.11,0.36,6,Control father group,BP16
S94,17853264,8297889,7046185,7382029,6130325,228647,687213,84.9153923365328,83.043902970308,2.75548395501555,8.28178106503955,69.2%,31%,8.3,68.9457475677314,30,95.8274086336898,18.1818181818182,8297889,Fam9,NE_16,NA,31,3.2,0,1002,43,S94,Fam09,P,C,M,8.3,67.4,Control,control,48,12.499,-0.81529,-0.42683,0.7,30.1,11.8,341,2696928,378,55.11,0.6298,1,Control father group,BP16
S95,22823088,9427259,8065574,8397856,7036171,253429,775974,85.5558757853157,83.7853256831267,2.68825753063536,8.23117302706969,74.8%,32%,9.4,74.6562551878231,32,96.5441380150901,18.1818181818182,9427259,Fam9,E_16,NA,32,2.1,5,938,42,S95,Fam09,P,T,M,9.4,67.4,Exposed,infected,47,12.378,-0.78397,-0.65614,1.5,24.5,15,207,1191014,173,47.61,0.5072,4,Exposed father group,BP16
S96,25378252,10330262,8922875,9168809,7761422,284690,876763,86.3760764247799,84.6502746430861,2.75588363586519,8.48732587808518,74.2%,31%,10.4,74.0119160142389,31,96.8759419654603,18.1818181818182,10330262,Fam9,E_34,S108,V48_011,4.2,0,728,37,S96,Fam09,O,TC,M,10.3,68.6,E_control,control,42,175.365,-2.39995,-2.63476,0.8,37.7,1.9,1.5,1094285.4,210,60.11,0.74,2,Exposed father group,BP34
S97,28433796,12808970,10844772,11263664,9299466,344945,1200361,84.6654492906143,82.5616424637667,2.69299561166901,9.37125311402868,73.0%,32%,12.9,72.5203783892023,31,95.1638326891233,18.1818181818182,12808970,Fam9,E_34,S108,V48_048,4.7,0,821,41,S97,Fam09,O,TC,M,12.8,66.7,E_control,control,47,82.953,0.10141,-0.26256,0.9,29.7,14.9,2.2,2296665.1,446,55.11,1.32,2,Exposed father group,BP34
S98,24613216,10523510,9053347,9208688,7738525,390926,923896,86.0297277239248,84.035043862926,3.7147871765219,8.77935213631193,72.6%,32%,10.6,72.2810314384417,31,95.9222267095294,18.1818181818182,10523510,Fam9,E_34,S108,V48_012,4.2,4,573,36,S98,Fam09,O,TT,F,10.5,68.6,E_exposed,infected,42,66.718,-0.90222,-0.92176,0.6,22.8,5.9,0.1,285218.2,41,40.11,0.53,3,Exposed father group,BP34
S99,22539344,10110256,8796845,8988846,7675435,287166,834244,87.0091222220288,85.3884358459362,2.84034350861145,8.25146267315091,72.8%,31%,10.2,72.431443268106,31,95.4232937326216,18.1818181818182,10110256,Fam9,E_34,S108,V48_326,1.5,2,430,34,S99,Fam09,O,TT,M,10.1,69.6,E_exposed,infected,40,16.424,-0.59786,-0.4188,0.5,11.8,0.5,2,2354667.1,353,60.11,0.41,3,Exposed father group,BP34
S100,27806363,12034606,10239677,10610275,8815346,332421,1091910,85.0852699290696,83.0831057630457,2.7622092488944,9.07308473580273,71.1%,33%,12.1,70.5690367155633,32,94.7653074807767,18.1818181818182,12034606,Fam9,E_34,S108,V48_377,2.2,2,562,37,S100,Fam09,O,TT,M,12.1,66.9,E_exposed,infected,42,9.365,0.27504,0.27077,0.6,15.8,0.2,1.8,3196044.3,514,20.11,0.7,3,Exposed father group,BP34
S101,23564609,10274659,8858998,9143979,7728318,282884,847796,86.2218201110129,84.518107489092,2.75322032585218,8.25132980082356,73.0%,31%,10.3,72.7674678919336,31,96.6124413472019,18.1818181818182,10274659,Fam9,NE_34,S107,V48_312,2.2,0,565,37,S101,Fam09,O,CC,M,10.3,69,NE_control,control,43,12.365,0.2267,0.21826,0.6,13.8,0.9,2.6,1449694,234,15.1,0.91,5,Control father group,BP34
S102,23967382,10607665,9228549,9417566,8038450,298445,891654,86.9988729847709,85.3559189285214,2.81348440019552,8.40575187847655,74.8%,31%,10.6,74.6318491088016,31,96.6508284339673,18.1818181818182,10607665,Fam9,NE_34,S107,V48_329,4,0,867,42,S102,Fam09,O,CC,M,10.6,68.6,NE_control,control,48,82.6,0.36015,-0.06771,1.4,40.4,1.2,4.8,3482595.9,500,75.11,0.33,5,Control father group,BP34
S103,25404604,10723194,9343406,9451635,8071847,402791,868768,87.1326770736406,85.4015945389343,3.75625956221626,8.10176520167405,84.2%,36%,17.1,74.4449658831927,31,96.5135818674921,18.1818181818182,10723194,Fam9,NE_34,S107,V48_003,4.5,1,650,40,S103,Fam09,O,CT,F,11.1,69.3,NE_exposed,infected,45,-41.694,1.85698,1.73049,0.7,16.9,9.5,1.2,2764858.5,498,50.11,1.37,6,Control father group,BP34
S104,21791576,9309529,8139636,8277848,7107955,263713,767968,87.4333814310047,85.8671843213357,2.83272118277949,8.24926803493496,75.0%,31%,9.3,74.8150895550908,31,96.6030070909065,18.1818181818182,9309529,Fam9,NE_34,S107,V48_311,2.5,1,659,40,S104,Fam09,O,CT,M,9.3,68.1,NE_exposed,infected,45,-32.694,1.71195,1.57296,0.9,19.9,0.7,2.5,1921151,319,20.11,0.67,6,Control father group,BP34
S105,26180323,10564903,9235970,9269999,7941066,402842,892062,87.4212475022251,85.6641516358308,3.81302128377326,8.44363644417748,73.6%,32%,10.6,73.2073177398443,32,95.2731954093663,18.1818181818182,10564903,Fam9,NE_34,S107,V48_330,2,6,447,35,S105,Fam09,O,CT,M,10.6,70.4,NE_exposed,infected,41,-12.929,0.12819,0.28364,0.6,11.7,8.7,1.7,2815242.4,420,55.11,0.43,6,Control father group,BP34
S106,21684972,10021775,8587580,8741207,7307012,372054,908514,85.689211741433,83.5927120819814,3.71245612678393,9.06540009130119,72.4%,31%,10.1,71.8889573120409,31,95.0326033063005,18.1818181818182,10021775,Fam9,NE_34,S107,V48_331,2,6,574,39,S106,Fam09,O,CT,F,10,68.4,NE_exposed,infected,45,-71.341,2.08167,2.06073,0.9,18.3,8.9,2.3,2111808.4,290,20.11,0.38,6,Control father group,BP34
S107,25226827,11417946,9826643,10094568,8503265,320549,1002829,86.0631413040489,84.2360465549393,2.80741387286295,8.78291944978545,71.0%,33%,11.7,69.9070114186025,32,93.9053139680289,18.1818181818182,11417946,Fam9,NE_34,NA,70,2.2,0,743,39,S107,Fam09,P,C,M,11.5,67.9,Control,control,45,11.704,-0.64166,-1.30792,1.5,19,3.9,163,3289750,422,52.61,0.5425,1,Control father group,BP34
S108,28687999,11523114,9720054,10114185,8311125,309328,1099601,84.3526671696557,82.1729580781843,2.68441325842997,9.54256809400653,72.6%,33%,11.6,71.9182133711683,32,94.5491954692108,18.1818181818182,11523114,Fam9,E_34,NA,71,1.2,6,1076,44,S108,Fam09,P,T,M,11.6,65.9,Exposed,infected,49,12.705,-1.00776,-0.31795,1.8,42.7,11.9,199,1947850,256.5,50.11,0.424,4,Exposed father group,BP34
S109,31367207,12359162,11023185,10900777,9564800,489629,968756,89.1903917110238,87.7442039223443,3.96166827492026,7.83836315115863,73.7%,32%,12.4,73.3488759912177,32,95.7463771411039,18.1818181818182,12359162,Fam11,E_31,S124,V48_028,4.4,0,641,38,S109,Fam11,O,TC,F,12.4,71.7,E_control,control,44,42.012,0.002,-0.11198,0.5,18.8,12.6,2,2071070.3,346,50.11,0.93,2,Exposed father group,BP31
S111,26115565,10841805,9617893,9534126,8310214,425314,882365,88.711178627544,87.1628296080836,3.92290767081681,8.13854335140689,71.6%,32%,10.9,71.1563220527031,31,95.418938082727,18.1818181818182,10841805,Fam11,E_31,S124,V48_110,3.3,0,679,39,S111,Fam11,O,TC,F,10.8,70.9,E_control,control,44,33.659,0.38966,0.2229,0.7,23.5,12.1,3.8,6427704.3,1160,65.11,1.58,2,Exposed father group,BP31
S112,37232456,15436642,13886599,13662105,12112062,617547,1156990,89.9586775413979,88.6544350230071,4.00052679850968,7.49508863391403,75.2%,31%,15.5,74.8982663152681,31,96.1257735976516,18.1818181818182,15436642,Fam11,E_31,S124,V48_264,2.5,0,588,38,S112,Fam11,O,TC,F,15.5,72.8,E_control,control,44,-10.988,0.85606,0.81569,0.6,20,8.5,2.5,1167363.1,196,70.11,0.66,2,Exposed father group,BP31
S113,26316950,11032307,9863227,9758712,8589632,437879,835716,89.4031230276677,88.0201403627856,3.96906104951575,7.57516990779898,74.5%,31%,11.1,74.2803528743961,31,96.1399808761667,18.1818181818182,11032307,Fam11,E_31,S124,V48_065,2.1,1,481,35,S113,Fam11,O,TT,F,11,72.7,E_exposed,infected,40,21.071,-0.4197,-0.31147,0.6,12.4,6.1,2.9,991374.3,162,95.11,0.52,3,Exposed father group,BP31
S114,24552013,10711152,9486275,9589887,8365010,317620,803645,88.5644700028531,87.2274094574837,2.96532063031129,7.50288110933352,72.9%,32%,11.1,71.7256898444143,31,95.625510122534,18.1818181818182,10711152,Fam11,E_31,S124,V48_066,2.5,1,440,35,S114,Fam11,O,TT,M,10.9,70.4,E_exposed,infected,40,-19.929,0.24099,0.40617,0.4,12,0.3,2.7,2100984.6,324,75.11,1.15,3,Exposed father group,BP31
S115,24798112,10537195,9397386,9283576,8143767,412197,841422,89.1829941459753,87.7223065766898,3.9118285274212,7.98525603825307,73.3%,31%,10.6,73.0754210784325,31,96.1392852651963,18.1818181818182,10537195,Fam11,E_31,S124,V48_111,4.2,3,768,41,S115,Fam11,O,TT,F,10.5,71.7,E_exposed,infected,46,29.953,0.95547,0.66511,0.9,31.3,13.6,4.4,2643137.4,439,75.11,0.74,3,Exposed father group,BP31
S116,23943047,11079161,9889132,9935922,8745893,334507,808732,89.2588527235952,88.0229635458088,3.01924486881272,7.29957800956228,78.2%,30%,11.1,78.0316281527657,30,96.4736201595049,18.1818181818182,11079161,Fam11,NE_31,S125,V48_022,4.4,0,638,38,S116,Fam11,O,CC,M,11.1,67,NE_control,control,44,39.012,0.05035,-0.05947,0.4,16.9,2.9,1.9,951264.4,190,70.11,0.83,5,Control father group,BP31
S117,30656031,12250227,10809220,10843916,9402909,477239,929072,88.2368955285482,86.7113780667427,3.89575638067768,7.58412068609014,76.1%,32%,12.3,75.7659804373201,31,96.3118485886017,18.1818181818182,12250227,Fam11,NE_31,S125,V48_052,1.5,0,594,38,S117,Fam11,O,CC,F,12.3,71.2,NE_control,control,44,-4.988,0.75938,0.71067,0.5,14.8,10,1.1,301697.2,41,100.11,1.73,5,Control father group,BP31
S119,21501374,9954191,8740198,8870674,7656681,290762,792755,87.8042022701795,86.3145348369245,2.92100081262254,7.96403243618693,72.9%,30%,10,72.7274546612934,30,96.4777069276649,18.1818181818182,9954191,Fam11,NE_31,S125,V48_357,1.5,0,561,38,S119,Fam11,O,CC,M,10,70.2,NE_control,control,43,-37.988,1.29115,1.28828,0.4,6.7,3.3,1.1,632294.5,89,85.11,1.79,5,Control father group,BP31
S120,28724263,12489186,11080876,11105481,9697171,487394,896311,88.7237647033201,87.3187843011932,3.90252815515759,7.17669670385244,78.6%,30%,12.5,78.4508477488463,30,96.8675702323594,18.1818181818182,12489186,Fam11,NE_31,S125,V48_075,1.5,2,560,39,S120,Fam11,O,CT,F,12.5,72.3,NE_exposed,infected,45,-85.341,2.30727,2.30578,0.3,13.4,9,1.1,1809721.2,276,65.11,0.72,6,Control father group,BP31
S121,29198548,12759355,11280256,11278033,9798934,499927,981395,88.4077290740794,86.8851332497431,3.91812125299437,7.69157218370364,75.7%,31%,12.8,75.3643567151436,31,96.0378740147915,18.1818181818182,12759355,Fam11,NE_31,S125,V48_150,2.7,2,473,36,S121,Fam11,O,CT,F,12.8,71.4,NE_exposed,infected,42,-33.282,0.70922,0.82856,0.1,11.4,5.7,NA,1477290.9,220,85.11,1.27,6,Control father group,BP31
S122,25601386,11046568,9940915,9796134,8690481,443196,807238,89.9909818144423,88.7133740718533,4.01206963103835,7.30759091873603,74.5%,31%,11.1,74.2540553406823,30,96.4771431271685,18.1818181818182,11046568,Fam11,NE_31,S125,V48_272,2,1,685,41,S122,Fam11,O,CT,F,11.1,73,NE_exposed,infected,47,-53.047,2.29297,2.11788,0.4,14.4,10.7,2.4,1743554.3,291,55.11,0.68,6,Control father group,BP31
S123,27118259,12250992,10769997,10992963,9511968,357369,900660,87.9112238421183,86.5277905511007,2.91706173671487,7.35173119042115,76.2%,32%,12.3,75.961241730776,32,96.432714509976,18.1818181818182,12250992,Fam11,NE_31,S125,V48_307,0.9,1,363,34,S123,Fam11,O,CT,M,12.3,70.9,NE_exposed,infected,40,-50.576,0.4818,0.75391,0.1,4.7,0.3,0.4,201478.8,29,90.11,0.61,6,Control father group,BP31
S124,33931581,13226904,11719396,11773764,10266256,387786,1065354,88.6027145883874,87.1960402807462,2.93179719154233,8.05444720850775,73.9%,33%,13.3,73.5679223457792,32,95.6501654506603,18.1818181818182,13226904,Fam11,E_31,NA,64,5.8,4,1024,45,S124,Fam11,P,T,M,13.3,70.1,Exposed,infected,50,11.458,0.83019,1.30824,1.2,27.9,15.7,307,3361759,457,70.11,0.6141,4,Exposed father group,BP31
S125,30801331,11488586,9962604,10291083,8765101,323021,874482,86.7174080430786,85.1718035895736,2.81166890337941,7.61174612785246,74.5%,34%,11.5,74.1890826730341,33,96.4804119497386,18.1818181818182,11488586,Fam11,NE_31,NA,65,3.5,0,919,43,S125,Fam11,P,C,M,11.5,68.9,Control,control,50,11.464,0.52221,0.57266,1,26.4,16.1,204,2456302,317,70.11,0.6074,1,Control father group,BP31
S128,22002292,9304493,8183709,8266516,7145732,273019,764958,87.9543785996722,86.4418819246222,2.93427057229233,8.22138293832883,70.2%,31%,9.4,69.7659700780587,31,94.8138272552841,18.1818181818182,9304493,Fam17,E_46,S144,V48_038,3.8,0,365,33,S128,Fam17,O,TC,M,9.3,69.1,E_control,control,38,-2.223,-0.55043,-0.28109,0.3,12.4,0.2,1.2,854941.9,146,65.11,0.82,2,Exposed father group,BP46
S129,30074171,12562750,10879933,11133162,9450345,352880,1076708,86.6047083640127,84.8846446319563,2.80893912558954,8.57063939026089,72.9%,32%,12.7,72.2164683103198,32,94.654173329884,18.1818181818182,12562750,Fam17,E_46,S144,V48_203,1,0,330,31,S129,Fam17,O,TC,M,12.6,68.8,E_control,control,35,55.483,-1.98642,-1.66848,0.3,8.2,0.5,1.4,350440.4,49,70.11,0.72,2,Exposed father group,BP46
S130,22306695,10182025,8889173,9037156,7744304,289928,854941,87.3026043444207,85.6940391424028,2.84744930404315,8.39657140892897,72.9%,31%,10.2,72.5368811292148,31,95.7206842450298,18.1818181818182,10182025,Fam17,E_46,S144,V48_204,0.7,0,370,32,S130,Fam17,O,TC,M,10.2,69.4,E_control,control,37,49.13,-1.631,-1.36861,0.1,10,0.3,1.1,238101.3,27,85.11,0.25,2,Exposed father group,BP46
